Ticker,RS,Volume SMA 5,Volume SMA 20,Volume SMA 5 Rank,Volume SMA 20 Rank
WWW,95.722049689441,2003220.0,1740975.0,831.0,1033.0
HIBB,95.722049689441,955113.2,542452.8,1497.0,2271.0
BRFS,95.722049689441,2895580.0,2358135.0,579.0,762.0
XIN,95.722049689441,1040180.0,274710.0,1403.0,3066.0
CMPO,95.722049689441,798220.0,1239185.0,1718.0,1356.0
KURA,95.722049689441,491320.0,490575.0,2243.0,2396.0
UG,95.6055900621118,17340.0,18785.0,5369.5,5388.0
WHLRD,95.6055900621118,24120.0,23125.0,5152.0,5244.5
GVA,95.6055900621118,531960.0,639415.0,2159.0,2095.0
FLXS,95.6055900621118,17640.0,26520.0,5352.0,5136.0
TAYD,95.6055900621118,47040.0,34520.0,4641.5,4935.5
GE,95.6055900621118,4307140.0,4840715.0,404.0,383.0
DHC,95.6055900621118,1535520.0,1247425.0,1044.0,1347.0
QFIN,95.52018633540372,4277880.0,2125225.0,406.0,857.0
HRTX,95.52018633540372,1743060.0,2133330.0,946.0,851.0
CHCI,95.52018633540372,39480.0,28830.0,4788.0,5074.0
VZIO,95.52018633540372,1672440.0,2029505.0,982.0,898.0
PWFL,95.44254658385093,670800.6,879028.55,1910.0,1716.0
HWKN,95.44254658385093,150360.0,130760.0,3551.0,3793.0
SHIP,95.44254658385093,302140.0,238050.0,2807.5,3203.0
PPC,95.44254658385093,2477300.0,2241115.0,683.0,800.0
HYLN,95.44254658385093,1799260.0,1084515.0,915.0,1482.0
HBM,95.44254658385093,4509880.0,4052100.0,386.0,465.0
DNTH,95.38043478260869,189840.0,210340.0,3270.0,3308.0
TGLS,95.38043478260869,168080.0,300405.0,3412.0,2971.0
TOL,95.31055900621118,1192200.0,1539865.0,1277.0,1134.0
CSWI,95.31055900621118,162340.0,417215.0,3449.0,2603.0
WLDN,95.31055900621118,170680.0,141170.0,3394.0,3706.0
TZOO,95.31055900621118,113120.0,149680.0,3819.0,3652.0
FRPT,95.31055900621118,387920.0,472285.0,2514.0,2446.0
EGO,95.31055900621118,1770300.0,1398975.0,931.0,1233.0
GDDY,95.31055900621118,896880.0,1216405.0,1567.0,1371.0
HCI,95.19409937888199,105660.0,135145.0,3884.0,3760.0
NVAX,95.19409937888199,7785720.0,6526655.0,218.0,272.0
VIRC,95.19409937888199,385240.0,318885.0,2526.0,2894.0
ATOS,95.19409937888199,616900.0,579870.0,2010.0,2206.0
EME,95.19409937888199,331040.0,377700.0,2711.0,2716.0
RGS,95.19409937888199,67580.0,72695.0,4325.5,4322.0
ANET,95.19409937888199,1297080.0,1500035.0,1187.0,1164.0
SPIR,95.19409937888199,204480.0,268200.0,3199.0,3089.0
CLS,95.0776397515528,1336780.0,1800020.0,1162.0,998.0
NAMS,95.0776397515528,396000.0,265995.0,2490.0,3101.0
REFR,95.0776397515528,12100.0,26260.0,5578.5,5146.0
OSG,95.0776397515528,426042.8,871376.55,2409.0,1726.0
TRAK,95.0776397515528,199800.0,81195.0,3220.0,4224.5
AXON,95.0776397515528,547140.0,536475.0,2131.0,2281.0
EPIX,95.0776397515528,32300.0,67875.0,4946.0,4384.0
AENT,94.9611801242236,91680.0,286720.0,4037.0,3018.0
AVGO,94.9611801242236,19980560.0,33690575.0,65.0,26.0
TSRI,94.9611801242236,3865.0,6136.25,6012.0,6002.0
BMR,94.9611801242236,112360.0,160575.0,3826.5,3584.0
MODD,94.9611801242236,148880.0,1221190.0,3564.5,1369.0
QTTB,94.9611801242236,75420.0,130825.0,4221.0,3792.0
SKYW,94.9611801242236,339180.0,378430.0,2685.0,2714.0
DOCS,94.9611801242236,1542840.0,1563580.0,1038.0,1117.0
ABUS,94.84472049689441,931440.0,1625765.0,1529.0,1081.0
IRM,94.84472049689441,1457720.0,1577480.0,1085.0,1111.0
NTRBW,94.84472049689441,1000.0,700.0,6223.5,6319.0
GVP,94.84472049689441,24300.0,48580.0,5142.0,4664.0
COKE,94.84472049689441,35840.0,62040.0,4851.0,4451.0
NGVC,94.84472049689441,143680.0,110085.0,3601.5,3925.0
DSP,94.84472049689441,73080.0,76070.0,4255.0,4284.0
MTTR,94.75931677018633,1513800.0,1741795.0,1053.0,1032.0
BOOT,94.75931677018633,494860.0,589155.0,2236.0,2184.0
HUMA,94.75931677018633,3132340.0,2747160.0,538.0,659.0
STRL,94.75931677018633,231000.0,305260.0,3085.0,2950.0
BV,94.67391304347827,436340.0,595845.0,2382.0,2167.0
HMST,94.67391304347827,60040.0,102450.0,4419.0,4001.0
MHO,94.67391304347827,283980.0,450885.0,2869.0,2513.0
GRND,94.67391304347827,416920.0,547140.0,2429.0,2261.0
CGEN,94.67391304347827,268600.0,220770.0,2929.0,3269.0
AMRX,94.67391304347827,1321880.0,1223580.0,1168.0,1368.0
TSM,94.67391304347827,13909600.0,12358050.0,115.0,126.0
SLN,94.53416149068323,282180.0,188305.0,2878.0,3411.0
GRBK,94.53416149068323,265780.0,407790.0,2936.0,2628.0
CYH,94.53416149068323,1102660.0,1291555.0,1345.0,1306.0
IGMS,94.53416149068323,668000.0,490045.0,1913.0,2399.0
QLI,94.53416149068323,7469.2,16129.55,5798.0,5496.0
SGC,94.53416149068323,115960.0,92540.0,3798.0,4105.0
MPWR,94.53416149068323,492080.0,531725.0,2242.0,2290.0
IBP,94.53416149068323,196840.0,254605.0,3235.0,3145.0
GWRE,94.53416149068323,840500.0,1035865.0,1663.0,1535.0
ZYME,94.53416149068323,470100.0,729290.0,2293.0,1943.0
BHVN,94.53416149068323,1392520.0,1393505.0,1124.0,1238.0
API,94.37111801242236,16712600.0,4260360.0,82.0,437.0
